DATE,BOGZ1LM105020005Q
1990-01-01,881215.0
1990-04-01,888442.0
1990-07-01,909006.0
1990-10-01,909813.0
1991-01-01,896771.0
1991-04-01,886428.0
1991-07-01,888036.0
1991-10-01,894910.0
1992-01-01,892631.0
1992-04-01,900609.0
1992-07-01,906550.0
1992-10-01,910426.0
1993-01-01,922777.0
1993-04-01,931977.0
1993-07-01,935607.0
1993-10-01,942902.0
1994-01-01,952017.0
1994-04-01,972862.0
1994-07-01,990417.0
1994-10-01,1016165.0
1995-01-01,1046921.0
1995-04-01,1065764.0
1995-07-01,1071992.0
1995-10-01,1078964.0
1996-01-01,1080082.0
1996-04-01,1085091.0
1996-07-01,1093481.0
1996-10-01,1104510.0
1997-01-01,1110232.0
1997-04-01,1121795.0
1997-07-01,1132780.0
1997-10-01,1147788.0
1998-01-01,1158330.0
1998-04-01,1162416.0
1998-07-01,1165838.0
1998-10-01,1174330.0
1999-01-01,1189381.0
1999-04-01,1203278.0
1999-07-01,1226614.0
1999-10-01,1258530.0
2000-01-01,1279536.0
2000-04-01,1302990.0
2000-07-01,1321465.0
2000-10-01,1339997.0
2001-01-01,1335248.0
2001-04-01,1324554.0
2001-07-01,1304896.0
2001-10-01,1272968.0
2002-01-01,1258128.0
2002-04-01,1273240.0
2002-07-01,1293604.0
2002-10-01,1312702.0
2003-01-01,1348286.0
2003-04-01,1339957.0
2003-07-01,1344635.0
2003-10-01,1363896.0
2004-01-01,1397933.0
2004-04-01,1433666.0
2004-07-01,1467236.0
2004-10-01,1493596.0
2005-01-01,1537726.0
2005-04-01,1547989.0
2005-07-01,1583619.0
2005-10-01,1618687.0
2006-01-01,1639226.0
2006-04-01,1685252.0
2006-07-01,1709158.0
2006-10-01,1720026.0
2007-01-01,1750451.0
2007-04-01,1787335.0
2007-07-01,1805122.0
2007-10-01,1855887.0
2008-01-01,1919928.0
2008-04-01,2010380.0
2008-07-01,1981454.0
2008-10-01,1805961.0
2009-01-01,1738116.0
2009-04-01,1707789.0
2009-07-01,1679950.0
2009-10-01,1702102.0
2010-01-01,1737297.0
2010-04-01,1748602.0
2010-07-01,1798181.0
2010-10-01,1860395.0
2011-01-01,1938629.0
2011-04-01,1987239.0
2011-07-01,1988498.0
2011-10-01,2000822.0
2012-01-01,2037771.0
2012-04-01,2036899.0
2012-07-01,2086958.0
2012-10-01,2099254.0
2013-01-01,2103502.0
2013-04-01,2106138.0
2013-07-01,2135099.0
2013-10-01,2173998.0
2014-01-01,2219741.0
2014-04-01,2239808.0
2014-07-01,2252286.0
2014-10-01,2233493.0
2015-01-01,2223251.0
2015-04-01,2254702.0
2015-07-01,2255201.0
2015-10-01,2253817.0
2016-01-01,2260028.0
2016-04-01,2303358.0
2016-07-01,2301970.0
2016-10-01,2340444.0
2017-01-01,2375896.0
2017-04-01,2384172.0
2017-07-01,2409685.0
2017-10-01,2449717.0
2018-01-01,2497277.0
2018-04-01,2533419.0
2018-07-01,2564471.0
2018-10-01,2576098.0
2019-01-01,2619444.0
2019-04-01,2632898.0
2019-07-01,2635204.0
2019-10-01,2646603.0
2020-01-01,2603195.0
2020-04-01,2543742.0
2020-07-01,2604485.0
2020-10-01,2670435.0
2021-01-01,2788811.0
2021-04-01,2908203.0
2021-07-01,2969047.0
2021-10-01,3110035.0
2022-01-01,3316280.0
2022-04-01,3476044.0
2022-07-01,3442936.0
2022-10-01,3409258.0
2023-01-01,3408106.0
2023-04-01,3396740.0
