DATE,DDDM01USA156NWDB
1990-01-01,51.876129999999996
1991-01-01,67.54641
1992-01-01,69.71804
1993-01-01,76.56243
1994-01-01,70.50327
1995-01-01,90.99809
1996-01-01,105.0461
1997-01-01,125.5619
1998-01-01,142.589
1999-01-01,153.441
2000-01-01,147.359
2001-01-01,132.148
2002-01-01,101.0791
2003-01-01,124.5066
2004-01-01,133.6506
2005-01-01,130.4083
2006-01-01,141.6542
2007-01-01,137.8527
2008-01-01,78.7766
2009-01-01,104.3488
2010-01-01,115.2841
2011-01-01,100.6313
2012-01-01,115.2579
2013-01-01,143.1937
2014-01-01,150.2273
2015-01-01,137.4445
2016-01-01,145.9167
2017-01-01,164.3593
2018-01-01,147.6641
2019-01-01,158.1229
