DATE,JTSLDL
2000-12-01,2018
2001-01-01,2220
2001-02-01,1855
2001-03-01,2133
2001-04-01,1883
2001-05-01,2029
2001-06-01,2015
2001-07-01,2038
2001-08-01,2011
2001-09-01,2107
2001-10-01,2319
2001-11-01,2255
2001-12-01,1922
2002-01-01,1907
2002-02-01,1978
2002-03-01,1883
2002-04-01,1956
2002-05-01,1967
2002-06-01,2015
2002-07-01,2102
2002-08-01,1923
2002-09-01,2022
2002-10-01,1935
2002-11-01,1944
2002-12-01,2007
2003-01-01,2109
2003-02-01,2015
2003-03-01,1949
2003-04-01,1998
2003-05-01,2072
2003-06-01,2076
2003-07-01,2062
2003-08-01,2162
2003-09-01,1932
2003-10-01,1969
2003-11-01,1951
2003-12-01,2007
2004-01-01,2037
2004-02-01,1985
2004-03-01,2065
2004-04-01,2010
2004-05-01,1914
2004-06-01,1887
2004-07-01,1885
2004-08-01,1974
2004-09-01,2027
2004-10-01,1903
2004-11-01,2037
2004-12-01,1951
2005-01-01,2008
2005-02-01,2068
2005-03-01,2188
2005-04-01,1957
2005-05-01,2021
2005-06-01,2015
2005-07-01,1898
2005-08-01,1905
2005-09-01,2032
2005-10-01,1873
2005-11-01,1769
2005-12-01,1923
2006-01-01,1784
2006-02-01,1882
2006-03-01,1888
2006-04-01,1853
2006-05-01,1991
2006-06-01,1817
2006-07-01,1860
2006-08-01,1775
2006-09-01,1831
2006-10-01,1898
2006-11-01,1926
2006-12-01,1772
2007-01-01,1922
2007-02-01,1850
2007-03-01,1882
2007-04-01,2000
2007-05-01,1967
2007-06-01,1845
2007-07-01,1896
2007-08-01,2033
2007-09-01,2188
2007-10-01,1998
2007-11-01,1966
2007-12-01,1915
2008-01-01,1989
2008-02-01,1995
2008-03-01,1918
2008-04-01,1958
2008-05-01,1950
2008-06-01,2172
2008-07-01,2071
2008-08-01,2190
2008-09-01,2088
2008-10-01,2250
2008-11-01,2290
2008-12-01,2482
2009-01-01,2581
2009-02-01,2599
2009-03-01,2575
2009-04-01,2654
2009-05-01,2231
2009-06-01,2261
2009-07-01,2267
2009-08-01,2119
2009-09-01,2195
2009-10-01,2028
2009-11-01,1913
2009-12-01,2033
2010-01-01,1880
2010-02-01,1825
2010-03-01,1924
2010-04-01,1749
2010-05-01,1762
2010-06-01,2075
2010-07-01,2166
2010-08-01,1890
2010-09-01,1832
2010-10-01,1745
2010-11-01,1849
2010-12-01,1854
2011-01-01,1827
2011-02-01,1755
2011-03-01,1794
2011-04-01,1792
2011-05-01,1904
2011-06-01,1942
2011-07-01,1845
2011-08-01,1845
2011-09-01,1872
2011-10-01,1794
2011-11-01,1912
2011-12-01,1801
2012-01-01,1797
2012-02-01,1903
2012-03-01,1784
2012-04-01,1880
2012-05-01,1969
2012-06-01,1892
2012-07-01,1722
2012-08-01,1894
2012-09-01,1805
2012-10-01,1891
2012-11-01,1921
2012-12-01,1700
2013-01-01,1678
2013-02-01,1664
2013-03-01,1787
2013-04-01,1793
2013-05-01,1836
2013-06-01,1761
2013-07-01,1713
2013-08-01,1816
2013-09-01,1892
2013-10-01,1675
2013-11-01,1630
2013-12-01,1770
2014-01-01,1806
2014-02-01,1767
2014-03-01,1703
2014-04-01,1764
2014-05-01,1710
2014-06-01,1761
2014-07-01,1781
2014-08-01,1699
2014-09-01,1718
2014-10-01,1835
2014-11-01,1726
2014-12-01,1857
2015-01-01,1789
2015-02-01,1757
2015-03-01,1973
2015-04-01,1856
2015-05-01,1711
2015-06-01,1821
2015-07-01,1703
2015-08-01,1773
2015-09-01,1964
2015-10-01,1845
2015-11-01,1779
2015-12-01,1803
2016-01-01,1805
2016-02-01,1894
2016-03-01,1850
2016-04-01,1771
2016-05-01,1825
2016-06-01,1750
2016-07-01,1759
2016-08-01,1860
2016-09-01,1588
2016-10-01,1664
2016-11-01,1751
2016-12-01,1708
2017-01-01,1745
2017-02-01,1711
2017-03-01,1762
2017-04-01,1710
2017-05-01,1794
2017-06-01,1970
2017-07-01,1910
2017-08-01,1868
2017-09-01,1787
2017-10-01,1837
2017-11-01,1747
2017-12-01,1732
2018-01-01,1932
2018-02-01,1771
2018-03-01,1795
2018-04-01,1727
2018-05-01,1775
2018-06-01,1822
2018-07-01,1806
2018-08-01,1803
2018-09-01,1764
2018-10-01,1813
2018-11-01,1938
2018-12-01,1839
2019-01-01,1708
2019-02-01,1777
2019-03-01,1692
2019-04-01,1962
2019-05-01,1773
2019-06-01,1770
2019-07-01,1831
2019-08-01,1800
2019-09-01,1951
2019-10-01,1810
2019-11-01,1784
2019-12-01,1939
2020-01-01,1800
2020-02-01,1968
2020-03-01,13036
2020-04-01,9203
2020-05-01,2177
2020-06-01,2269
2020-07-01,1848
2020-08-01,1593
2020-09-01,1578
2020-10-01,1711
2020-11-01,2138
2020-12-01,1912
2021-01-01,1578
2021-02-01,1629
2021-03-01,1514
2021-04-01,1422
2021-05-01,1345
2021-06-01,1329
2021-07-01,1418
2021-08-01,1338
2021-09-01,1408
2021-10-01,1343
2021-11-01,1345
2021-12-01,1398
2022-01-01,1425
2022-02-01,1423
2022-03-01,1395
2022-04-01,1342
2022-05-01,1482
2022-06-01,1477
2022-07-01,1497
2022-08-01,1627
2022-09-01,1436
2022-10-01,1525
2022-11-01,1485
2022-12-01,1475
2023-01-01,1719
2023-02-01,1557
2023-03-01,1845
2023-04-01,1590
2023-05-01,1546
2023-06-01,1551
2023-07-01,1681
2023-08-01,1680
