DATE,M1V
1990-01-01,7.356
1990-04-01,7.391
1990-07-01,7.377
1990-10-01,7.303
1991-01-01,7.247
1991-04-01,7.212
1991-07-01,7.166
1991-10-01,7.058
1992-01-01,6.886
1992-04-01,6.814
1992-07-01,6.735
1992-10-01,6.584
1993-01-01,6.508
1993-04-01,6.406
1993-07-01,6.289
1993-10-01,6.25
1994-01-01,6.264
1994-04-01,6.339
1994-07-01,6.369
1994-10-01,6.479
1995-01-01,6.55
1995-04-01,6.614
1995-07-01,6.714
1995-10-01,6.86
1996-01-01,7.016
1996-04-01,7.18
1996-07-01,7.369
1996-10-01,7.623
1997-01-01,7.761
1997-04-01,8.002
1997-07-01,8.102
1997-10-01,8.196
1998-01-01,8.238
1998-04-01,8.326
1998-07-01,8.469
1998-10-01,8.511
1999-01-01,8.578
1999-04-01,8.647
1999-07-01,8.82
1999-10-01,8.902
2000-01-01,8.989
2000-04-01,9.251
2000-07-01,9.37
2000-10-01,9.546
2001-01-01,9.499
2001-04-01,9.459
2001-07-01,9.098
2001-10-01,9.086
2002-01-01,9.05
2002-04-01,9.15
2002-07-01,9.199
2002-10-01,9.132
2003-01-01,9.048
2003-04-01,8.932
2003-07-01,8.941
2003-10-01,9.048
2004-01-01,9.042
2004-04-01,9.065
2004-07-01,9.098
2004-10-01,9.138
2005-01-01,9.321
2005-04-01,9.445
2005-07-01,9.557
2005-10-01,9.686
2006-01-01,9.852
2006-04-01,9.957
2006-07-01,10.126
2006-10-01,10.254
2007-01-01,10.399
2007-04-01,10.469
2007-07-01,10.595
2007-10-01,10.703
2008-01-01,10.639
2008-04-01,10.645
2008-07-01,10.418
2008-10-01,9.548
2009-01-01,9.155
2009-04-01,8.827
2009-07-01,8.691
2009-10-01,8.698
2010-01-01,8.708
2010-04-01,8.742
2010-07-01,8.671
2010-10-01,8.434
2011-01-01,8.205
2011-04-01,8.044
2011-07-01,7.533
2011-10-01,7.339
2012-01-01,7.264
2012-04-01,7.183
2012-07-01,6.939
2012-10-01,6.728
2013-01-01,6.729
2013-04-01,6.648
2013-07-01,6.623
2013-10-01,6.492
2014-01-01,6.314
2014-04-01,6.272
2014-07-01,6.277
2014-10-01,6.165
2015-01-01,6.06
2015-04-01,6.097
2015-07-01,6.057
2015-10-01,6.007
2016-01-01,5.927
2016-04-01,5.798
2016-07-01,5.731
2016-10-01,5.708
2017-01-01,5.647
2017-04-01,5.556
2017-07-01,5.52
2017-10-01,5.541
2018-01-01,5.579
2018-04-01,5.629
2018-07-01,5.636
2018-10-01,5.604
2019-01-01,5.636
2019-04-01,5.627
2019-07-01,5.603
2019-10-01,5.52
2020-01-01,5.328
2020-04-01,1.589
2020-07-01,1.278
2020-10-01,1.252
2021-01-01,1.231
2021-04-01,1.214
2021-07-01,1.209
2021-10-01,1.217
2022-01-01,1.217
2022-04-01,1.238
2022-07-01,1.271
2022-10-01,1.323
2023-01-01,1.392
2023-04-01,1.459
2023-07-01,1.509
