DATE,MMMFFAQ027S
1990-01-01,465696
1990-04-01,455295
1990-07-01,486898
1990-10-01,501268
1991-01-01,555411
1991-04-01,535657
1991-07-01,536008
1991-10-01,542441
1992-01-01,574836
1992-04-01,559738
1992-07-01,556864
1992-10-01,546194
1993-01-01,559524
1993-04-01,552412
1993-07-01,550522
1993-10-01,565319
1994-01-01,582288
1994-04-01,576632
1994-07-01,586195
1994-10-01,611005
1995-01-01,641874
1995-04-01,686673
1995-07-01,710873
1995-10-01,753018
1996-01-01,824202
1996-04-01,817748
1996-07-01,852063
1996-10-01,901807
1997-01-01,965433
1997-04-01,963700
1997-07-01,1015127
1997-10-01,1058885
1998-01-01,1142406
1998-04-01,1168511
1998-07-01,1266902
1998-10-01,1351678
1999-01-01,1438367
1999-04-01,1420845
1999-07-01,1476728
1999-10-01,1613146
2000-01-01,1696149
2000-04-01,1658250
2000-07-01,1727378
2000-10-01,1845248
2001-01-01,2035459
2001-04-01,2052455
2001-07-01,2161638
2001-10-01,2285310
2002-01-01,2247857
2002-04-01,2190769
2002-07-01,2158164
2002-10-01,2265075
2003-01-01,2198864
2003-04-01,2157611
2003-07-01,2090350
2003-10-01,2040021
2004-01-01,1992608
2004-04-01,1941873
2004-07-01,1892172
2004-10-01,1901700
2005-01-01,1865022
2005-04-01,1853916
2005-07-01,1901890
2005-10-01,2026821
2006-01-01,2033948
2006-04-01,2094385
2006-07-01,2195786
2006-10-01,2338451
2007-01-01,2417799
2007-04-01,2514235
2007-07-01,2830799
2007-10-01,3085760
2008-01-01,3442540
2008-04-01,3377297
2008-07-01,3420293
2008-10-01,3832237
2009-01-01,3813876
2009-04-01,3653101
2009-07-01,3425463
2009-10-01,3315893
2010-01-01,2983807
2010-04-01,2813331
2010-07-01,2796581
2010-10-01,3034465.0
2011-01-01,2970327.0
2011-04-01,2934857.0
2011-07-01,2876458.0
2011-10-01,2941890.0
2012-01-01,2862155.0
2012-04-01,2785404.0
2012-07-01,2858215.0
2012-10-01,2996592.0
2013-01-01,2922416.0
2013-04-01,2901526.0
2013-07-01,3004474.0
2013-10-01,3047282.0
2014-01-01,2995782.0
2014-04-01,2920671.0
2014-07-01,2968844.0
2014-10-01,3072970.0
2015-01-01,3002355.0
2015-04-01,2957534.0
2015-07-01,3015801.0
2015-10-01,3078204.0
2016-01-01,3064466.0
2016-04-01,2969440.0
2016-07-01,2943898.0
2016-10-01,2955224.0
2017-01-01,2926657.0
2017-04-01,2892645.0
2017-07-01,3029916.0
2017-10-01,3120533.0
2018-01-01,3067973.0
2018-04-01,3092120.0
2018-07-01,3143468.0
2018-10-01,3289687.0
2019-01-01,3483726.0
2019-04-01,3600902.0
2019-07-01,3834010.0
2019-10-01,4002466.0
2020-01-01,4727179.0
2020-04-01,5087590.0
2020-07-01,4846839.0
2020-10-01,4765920.0
2021-01-01,4979998.0
2021-04-01,5015397.0
2021-07-01,5019225.0
2021-10-01,5205455.0
2022-01-01,5090707.0
2022-04-01,5032439.0
2022-07-01,5084242.0
2022-10-01,5223061.0
2023-01-01,5692567.0
2023-04-01,5917150.0
