,mean,std
mom,0.10649146431620439,0.015502478220837444
ue,0.09758718575626675,0.014040293175530232
house,0.08707476137814378,0.014949777012821101
pce,0.07370448246116261,0.012858245207419003
ffr,0.06363511987885584,0.011304768874890425
b0_loan,0.05947962229710746,0.012046200162136391
cli,0.05503272287621256,0.010031555876976435
veloc,0.054065008470959255,0.011026447021046762
b1_loan,0.044602319489040705,0.01026222971446406
exports,0.0415274619931743,0.009292387113891597
gdpd,0.040386624325167535,0.0086185704128249
b0_spx,0.032485596067985144,0.007660455728908113
b0_usd,0.02642413559769088,0.0068807749718376625
cars,0.0225499615407265,0.006710677384770082
mich,0.022059903006450075,0.005821223440475126
rgdp,0.018521824307565597,0.005627161193619367
recess,0.018475061287615092,0.0065894802033510174
d_cli,0.017667235114912437,0.005248926466817669
d_cars,0.015450136961844173,0.004281327449758796
b1_spx,0.015041845338871982,0.00492281665055173
d_ue,0.01446330323483024,0.005144207028928685
d_house,0.012826584082246972,0.004176312751481426
d_ffr,0.012740560755997044,0.00543058800260269
d_veloc,0.011617627549091233,0.004525873228212384
potus_party,0.00885965895596621,0.004100310333066775
d_pce,0.00849528012064731,0.004060360793339181
b1_usd,0.008053658693508789,0.0032556007728253354
d_mich,0.003055642861707162,0.0016933634305572886
d_rgdp,0.002704669373557922,0.0018106510089565403
d_gdpd,0.002169883357121757,0.001589485582894949
d_exports,0.0016954336794015516,0.001295410012425011
fed_party,0.001055224869966989,0.0011280503011979709
